Cluster ID,confidence_score,unique_id,venue,year,title,authors,canonical_unique_id,canonical_venue,canonical_year,canonical_title,canonical_authors
12,,0,SIGMOD Record,1998,Semantic Integration of Environmental Models for Application to Global Information Systems and Decision-Making,D. Scott Mackay,,,,,
0,0.99999654,1,VLDB J.,1996,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,"Viswanath Poosala, Yannis E. Ioannidis",b'1',b'vldb j.',b'1996',b'estimation of query-result distribution and its application in parallel-join load balancing',"b'viswanath poosala, yannis e. ioannidis'"
1,0.99999654,2,VLDB,2002,Incremental Maintenance for Non-Distributive Aggregate Functions,"Themistoklis Palpanas, Richard Sidle, Hamid Pirahesh, Roberta Cochrane",b'2',b'vldb',b'2002',b'incremental maintenance for non-distributive aggregate functions',"b'themistoklis palpanas, richard sidle, hamid pirahesh, roberta cochrane'"
2,0.99999654,3,VLDB,1996,Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,"Zhao-Hui Tang, Georges Gardarin, Jean-Robert Gruser",b'3',b'vldb',b'1996',b'cost-based selection of path expression processing algorithms in object-oriented databases',"b'zhao-hui tang, georges gardarin, jean-robert gruser'"
3,0.99999654,4,VLDB,1995,Benchmarking Spatial Join Operations with Spatial Output,"Erik G. Hoel, Hanan Samet",b'4',b'vldb',b'1995',b'benchmarking spatial join operations with spatial output',"b'erik g. hoel, hanan samet'"
4,0.999439,5,SIGMOD Record,1999,Efficient Geometry-based Similarity Search of 3D Spatial Databases,Daniel A. Keim,b'5',b'sigmod record',b'1999',b'efficient geometry-based similarity search of 3d spatial databases',b'daniel a. keim'
4,0.999439,6,SIGMOD Record,1999,Efficient Geometry-3D Spatial Databases,Aris M. Ouksel,b'5',b'sigmod record',b'1999',b'efficient geometry-based similarity search of 3d spatial databases',b'daniel a. keim'
13,,7,VLDB J.,1998,Enhanced Abstract Data Types in Object-Relational Databases,Praveen Seshadri,,,,,
5,0.99999654,8,SIGMOD Record,1997,Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice),"Nandit Soparkar, Krithi Ramamritham",b'8',b'sigmod record',b'1997',"b""report on dart '96: databases: active and real-time (concepts meet practice)""","b'nandit soparkar, krithi ramamritham'"
5,0.99999654,9,SIGMOD Record,1997,Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice),"Phil Janus, Albert D'Andrea",b'8',b'sigmod record',b'1997',"b""report on dart '96: databases: active and real-time (concepts meet practice)""","b'nandit soparkar, krithi ramamritham'"
6,0.99999654,10,VLDB,1994,Dual-Buffering Strategies in Object Bases,"Alfons Kemper, Donald Kossmann",b'10',b'vldb',b'1994',b'dual-buffering strategies in object bases',"b'alfons kemper, donald kossmann'"
