Cluster ID,confidence_score,unique_id,venue,year,title,authors,canonical_unique_id,canonical_venue,canonical_year,canonical_title,canonical_authors
11,,0,SIGMOD Record,1998,Semantic Integration of Environmental Models for Application to Global Information Systems and Decision-Making,D. Scott Mackay,,,,,
12,,1,VLDB J.,1996,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,"Viswanath Poosala, Yannis E. Ioannidis",,,,,
13,,2,VLDB,2002,Incremental Maintenance for Non-Distributive Aggregate Functions,"Themistoklis Palpanas, Richard Sidle, Hamid Pirahesh, Roberta Cochrane",,,,,
14,,3,VLDB,1996,Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,"Zhao-Hui Tang, Georges Gardarin, Jean-Robert Gruser",,,,,
15,,4,VLDB,1995,Benchmarking Spatial Join Operations with Spatial Output,"Erik G. Hoel, Hanan Samet",,,,,
16,,5,SIGMOD Record,1999,Efficient Geometry-based Similarity Search of 3D Spatial Databases,Daniel A. Keim,,,,,
17,,6,SIGMOD Record,1999,Efficient Geometry-3D Spatial Databases,Aris M. Ouksel,,,,,
18,,7,VLDB J.,1998,Enhanced Abstract Data Types in Object-Relational Databases,Praveen Seshadri,,,,,
19,,8,SIGMOD Record,1997,Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice),"Nandit Soparkar, Krithi Ramamritham",,,,,
20,,9,SIGMOD Record,1997,Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice),"Phil Janus, Albert D'Andrea",,,,,
21,,10,VLDB,1994,Dual-Buffering Strategies in Object Bases,"Alfons Kemper, Donald Kossmann",,,,,
22,,11,SIGMOD Conference,2003,Aurora: A Data Stream Management System,"Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur �etintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun",,,,,
23,,12,VLDB J.,2005,Priority Assignment in Real-Time Active Databases,"Rajendran M. Sivasankaran, Bhaskar Purimetla, John A. Stankovic, Krithi Ramamritham, Donald F. Towsley",,,,,
24,,13,VLDB J.,2000,WaveCluster: A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases,"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang",,,,,
25,,14,VLDB J.,2000,A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",,,,,
26,,15,VLDB J.,1997,SPRINT: A Scalable Parallel Classifier for Data Mining,"John C. Shafer, Rakesh Agrawal, Manish Mehta",,,,,
27,,16,SIGMOD Conference,1997,Snowball: A Prototype System for Extracting Relations from Large Text Collections,"Jeff Pavel, Luis Gravano, Aleksandr Voskoboynik, Eugene Agichtein, Viktoriya Sokolova",,,,,
28,,17,SIGMOD Conference,1997,Snowball: A Prototype,"Timothy Griffin, Richard Hull",,,,,
29,,18,VLDB J.,2004,Parametric Query Optimization,"Raymond T. Ng, Timos K. Sellis, Yannis E. Ioannidis, Kyuseok Shim",,,,,
30,,19,VLDB,2001,Lineage Tracing for General Data Warehouse Transformations,"Yingwei Cui, Jennifer Widom",,,,,
31,,20,VLDB J.,1996,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,"Viswanath Poosala, Yannis E. Ioannidis",,,,,
32,,21,VLDB,2002,Incremental Maintenance for Non-Distributive Aggregate Functions,"Themistoklis Palpanas, Richard Sidle, Hamid Pirahesh, Roberta Cochrane",,,,,
33,,22,VLDB,1996,Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,"Zhao-Hui Tang, Georges Gardarin, Jean-Robert Gruser",,,,,
34,,23,VLDB,1995,Benchmarking Spatial Join Operations with Spatial Output,"Erik G. Hoel, Hanan Samet",,,,,
35,,24,VLDB,1994,Dual-Buffering Strategies in Object Bases,"Alfons Kemper, Donald Kossmann",,,,,
36,,25,SIGMOD Conference,2003,Aurora: A Data Stream Management System,"Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur �etintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun",,,,,
37,,26,VLDB J.,2005,Priority Assignment in Real-Time Active Databases,"Rajendran M. Sivasankaran, Bhaskar Purimetla, John A. Stankovic, Krithi Ramamritham, Donald F. Towsley",,,,,
38,,27,VLDB J.,2005,Priority Assignment in Real-Time Active Databases,"Rajendran M. Sivasankaran, Bhaskar Purimetla, John A. Stankovic, Krithi Ramamritham, Donald F. Towsley",,,,,
39,,28,VLDB J.,2000,WaveCluster: A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases,"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang",,,,,
40,,29,VLDB J.,2000,A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",,,,,
41,,30,VLDB J.,1997,SPRINT: A Scalable Parallel Classifier for Data Mining,"John C. Shafer, Rakesh Agrawal, Manish Mehta",,,,,
