Cluster ID,Link Score,description,price,source file,source_file,title,unique_id
0.0,0.545451819896698,Linksys EtherFast 8-Port 10/100 Switch - EZXS88W/ 10/100 Dual-Speed Per-Port/ Perfect For Optimizing 10BaseT And 100BaseTX Hardware On The Same Network/ Speeds Of Up To 200Mbps In Full Duplex Operation/ Eliminate Bandwidth Constraints And Clear Up Bottlenecks,$44.00,0,0,Linksys EtherFast 8-Port 10/100 Switch - EZXS88W,1
1.0,0.5454487800598145,"Linksys EtherFast10/100 5-Port Auto-Sensing Switch - EZXS55W/ 5 Port 10/100 Autosensing Ports With Both Half And Full Duplex Modes/ Perfect For Integrating Your 10BaseT And 100BaseTX Network Hardware/ Switched 10/100 Ports Run At 10Mbps, 20Mbps, 100Mbps Up To 200Mbps",$29.00,0,0,Linksys EtherFast10/100 5-Port Auto-Sensing Switch - EZXS55W,2
126.0,0.5454509854316711,Netgear ProSafe 5 Port 10/100 Desktop Switch - FS105/ 5 Auto Speed-Sensing 10/100 UTP Ports/ Embedded Memory,$40.00,0,0,Netgear ProSafe 5 Port 10/100 Desktop Switch - FS105,3
200.0,0.5454516410827637,Belkin F3H982-10 Pro Series High Integrity 10 Feet Monitor Cable - F3H98210/ Recommended For Monitors 17' And Larger/ Designed To Support High Resolution Imaging And High Speed/ Double Shielding/ Gold Plated Copper Contacts,"",0,0,Belkin F3H982-10 Pro Series High Integrity 10 Feet Monitor Cable - F3H98210,4
"","","Netgear Prosafe 16 Port 10/100 Rackmount Switch - JFS516NA/ Sixteen Switched Ports Provide Private Bandwidth For PCs, Servers Or Hubs/ Store-And-Forward Packet Switching/ Compatible With All Major Network Software/ Auto Detects Speed And Duplex/ Black Finish",$131.00,0,0,Netgear Prosafe 16 Port 10/100 Rackmount Switch - Black Finish - JFS516NA,5
356.0,0.5454540252685547,LaCie USB 2.0 Floppy Disk Drive - 706018/ Ultra-Thin Portable Design/ Compatible With Windows And Mac OS/ Plug And Play/ USB Powered/ 250 - 500 kbps Transfer Rate/ Silver Finish,$49.00,0,0,LaCie USB 2.0 Floppy Disk Drive - 706018,6
"","",Canon KP-36IP Color Ink & Paper Set - 7737A001/ 36 Sheets Of 4' x 6' Photo Paper/ Ink Cartridge For Compatible Canon Dye Sublimation Printer,$12.00,0,0,Canon KP-36IP Color Ink & Paper Set - 7737A001,7
504.0,0.5454544425010681,Kensington Orbit Optical Trackball Mouse - 64327/ DiamondEye Optical Technology For Precise Tracking And Cursor Control/ USB And PS/2 Connectivity For Greater Compatibility/ Windows And Mac Compatible/ Metallic Silver And Black Finish,$38.00,0,0,Kensington Orbit Optical Trackball Mouse - 64327,8
573.0,0.545451819896698,Linksys EtherFast4116 16-Port 10/100 Ethernet Switch - EF4116/ 16 Autosensing 10/100 Full Duplex Auto MDI/MDI-X Ports/ Run Blazing Speeds Up To 200Mbps/ Address Learning And Aging And Data Flow Control,$79.00,0,0,Linksys EtherFast4116 16-Port 10/100 Ethernet Switch - EF4116,9
651.0,0.5454521775245667,"Linksys EtherFast 4124 24-Port Ethernet Switch - EF4124/ 24 Autosensing 10/100 Full Duplex, Auto MDI/MDI-X Ports/ Up To 200Mbps/ Address Learning, Aging And Data Flow Control/ Compact Size",$119.00,0,0,Linksys EtherFast 4124 24-Port Ethernet Switch - EF4124,10
