unique_id,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,row_id,cluster_id,confidence_score
INV-34290000006,2021-02-15,2687,Hy-Vee Fast & Fresh Express- Bettendorf,3470 Middle Road,Bettendorf,57222,POINT (-90.484139 41.551386),82,SCOTT,1032100,Imported Vodkas,115,CONSTELLATION BRANDS INC,34820,Svedka 80prf,12,750,8.25,12.38,12,148.56,9,2.37,INV-34290000006,602,0.81
INV-41725500009,2021-11-08,2687,Hy-Vee Fast & Fresh Express- Bettendorf,3470 Middle Road,Bettendorf,57222,POINT (-90.484139 41.551386),82,SCOTT,1031100,American Vodkas,209,MINHAS MICRO DISTILLERY,38581,Wisconsin Club Vodka,6,1750,6.5,9.75,6,58.5,10.5,2.77,INV-41725500009,602,0.81
INV-33181800171,2021-01-04,2614,Hy-Vee #3 Food & Drugstore / Davenport,1823 E Kimberly Rd,Davenport,52807,POINT (-90.548919 41.55678100000001),82,SCOTT,1041100,American Dry Gins,370,PERNOD RICARD USA,32236,Seagrams Extra Dry Gin,12,750,6.99,10.49,24,251.76,18,4.75,INV-33181800171,93,0.81
INV-37452300062,2021-06-14,2614,Hy-Vee #3 Food & Drugstore / Davenport,1823 E Kimberly Rd,Davenport,52807,POINT (-90.548919 41.55678100000001),82,SCOTT,1041100,American Dry Gins,370,PERNOD RICARD USA,32238,Seagrams Extra Dry Gin,6,1750,12.99,19.49,6,116.94,10.5,2.77,INV-37452300062,93,0.81
INV-38844100066,2021-08-02,2635,Hy-Vee #4 / Davenport,4064 E 53rd St,Davenport,52807,POINT (-90.513769 41.574973),82,SCOTT,1012400,Irish Whiskies,395,PROXIMO,15526,Bushmills Black Bush Irish Whiskey,12,750,20.9,31.35,6,188.1,4.5,1.18,INV-38844100066,662,0.81
INV-34823500078,2021-03-08,2614,Hy-Vee #3 Food & Drugstore / Davenport,1823 E Kimberly Rd,Davenport,52807,POINT (-90.548919 41.55678100000001),82,SCOTT,1031100,American Vodkas,421,SAZERAC COMPANY  INC,38088,Platinum 7x Vodka,6,1750,9.44,14.16,300,4248,525,138.69,INV-34823500078,93,0.81
INV-37849800024,2021-06-28,2614,Hy-Vee #3 Food & Drugstore / Davenport,1823 E Kimberly Rd,Davenport,52807,POINT (-90.548919 41.55678100000001),82,SCOTT,1081400,American Schnapps,434,LUXCO INC,80571,Arrow Peppermint Schnapps Mini,12,50,4.55,6.83,4,27.32,0.2,0.05,INV-37849800024,93,0.81
INV-33734100124,2021-01-25,2614,Hy-Vee #3 Food & Drugstore / Davenport,1823 E Kimberly Rd,Davenport,52807,POINT (-90.548919 41.55678100000001),82,SCOTT,1081400,American Schnapps,421,SAZERAC COMPANY  INC,83906,Maui Blue Hawaiian Schnapps,12,750,3.67,5.51,6,33.06,4.5,1.18,INV-33734100124,93,0.81
INV-37555300020,2021-06-16,3715,Kimberly Mart / Davenport,1714 E Kimberly Rd,Davenport,52807,POINT (-90.550657 41.556966),82,SCOTT,1032100,Imported Vodkas,370,PERNOD RICARD USA,34003,Absolut Swedish Vodka 80prf,24,200,2.99,4.49,4,17.96,0.8,0.21,INV-37555300020,635,0.81
INV-35925500030,2021-04-19,2614,Hy-Vee #3 Food & Drugstore / Davenport,1823 E Kimberly Rd,Davenport,52807,POINT (-90.548919 41.55678100000001),82,SCOTT,1011600,Straight Rye Whiskies,255,Infinium Spirits,26858,Templeton Rye 4YR,12,375,9.99,14.99,3,44.97,1.12,0.29,INV-35925500030,93,0.81
INV-40848000015,2021-10-11,2635,Hy-Vee #4 / Davenport,4064 E 53rd St,Davenport,52807,POINT (-90.513769 41.574973),82,SCOTT,1011100,Blended Whiskies,492,WESTERN SPIRITS BEVERAGE,26176,Bird Dog Strawberry Mini,6,50,5,7.5,6,45,0.3,0.07,INV-40848000015,662,0.81
INV-39536600017,2021-08-25,3715,Kimberly Mart / Davenport,1714 E Kimberly Rd,Davenport,52807,POINT (-90.550657 41.556966),82,SCOTT,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,19066,Jim Beam,12,750,10.5,15.75,3,47.25,2.25,0.59,INV-39536600017,635,0.81
INV-38941200031,2021-08-04,2614,Hy-Vee #3 Food & Drugstore / Davenport,1823 E Kimberly Rd,Davenport,52807,POINT (-90.548919 41.55678100000001),82,SCOTT,1052100,Imported Brandies,389,REMY COINTREAU USA INC,49185,Remy Martin VSOP Flask,12,375,12.52,18.78,12,225.36,4.5,1.18,INV-38941200031,93,0.81
INV-39315500015,2021-08-18,3354,Sam's Club 8238 / Davenport,3845 Elmore Ave.,Davenport,52807,POINT (-90.527081 41.559731),82,SCOTT,1041100,American Dry Gins,260,DIAGEO AMERICAS,30317,Gordons Gin London Dry,12,1000,7,10.5,12,126,12,3.17,INV-39315500015,668,0.81
INV-36916400052,2021-05-25,3354,Sam's Club 8238 / Davenport,3845 Elmore Ave.,Davenport,52807,POINT (-90.527081 41.559731),82,SCOTT,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,19486,Makers 46,6,750,21,31.5,6,189,4.5,1.18,INV-36916400052,668,0.81
INV-33181800049,2021-01-04,2614,Hy-Vee #3 Food & Drugstore / Davenport,1823 E Kimberly Rd,Davenport,52807,POINT (-90.548919 41.55678100000001),82,SCOTT,1031200,American Flavored Vodka,205,E & J Gallo Winery,40594,New Amsterdam Peach,12,750,7.5,11.25,12,135,9,2.37,INV-33181800049,93,0.81
INV-36916400030,2021-05-25,3354,Sam's Club 8238 / Davenport,3845 Elmore Ave.,Davenport,52807,POINT (-90.527081 41.559731),82,SCOTT,1062200,White Rum,35,BACARDI USA INC,43387,Castillo Silver Rum,12,1000,5.25,7.88,48,378.24,48,12.68,INV-36916400030,668,0.81
INV-33405600004,2021-01-12,3540,Super Target T-0533 / Davenport,5225 Elmore Ave,Davenport,52807,POINT (-90.528585 41.573196),82,SCOTT,1062500,Flavored Rum,370,PERNOD RICARD USA,42699,Malibu Mango Rum,12,750,7.49,11.24,12,134.88,9,2.37,INV-33405600004,253,0.81
INV-37555100015,2021-06-16,4640,Mart Stop #1 / Davenport,3527 Spring St,Davenport,52807,POINT (-90.547751 41.5563),82,SCOTT,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64870,Fireball Cinnamon Whiskey,48,100,0.9,1.35,96,129.6,9.6,2.53,INV-37555100015,92,0.81
INV-40023900076,2021-09-13,2635,Hy-Vee #4 / Davenport,4064 E 53rd St,Davenport,52807,POINT (-90.513769 41.574973),82,SCOTT,1031100,American Vodkas,300,McCormick Distilling Co.,36908,McCormick 80prf Vodka PET,6,1750,7.47,11.21,12,134.52,21,5.54,INV-40023900076,662,0.81
INV-42092200028,2021-11-17,3715,Kimberly Mart / Davenport,1714 E Kimberly Rd,Davenport,52807,"",82,SCOTT,1031100,American Vodkas,297,Laird & Company,35918,Five O'Clock Vodka,6,1750,7.2,10.8,2,21.6,3.5,0.92,INV-42092200028,635,0.81
INV-34678500033,2021-03-02,3731,Wal-Mart 1241 / Davenport,5811 Elmore Ave,Davenport,52807,POINT (-90.525525 41.580212),82,SCOTT,1022100,Mixto Tequila,395,PROXIMO,87409,Jose Cuervo Especial Silver,12,1000,13.5,20.25,12,234,12,3.17,INV-34678500033,330,0.81
INV-33181800104,2021-01-04,2614,Hy-Vee #3 Food & Drugstore / Davenport,1823 E Kimberly Rd,Davenport,52807,POINT (-90.548919 41.55678100000001),82,SCOTT,1081400,American Schnapps,65,Jim Beam Brands,73456,Dekuyper Luscious Razzmatazz,12,750,6.5,9.75,12,117,9,2.37,INV-33181800104,93,0.81
INV-36302400042,2021-05-03,2635,Hy-Vee #4 / Davenport,4064 E 53rd St,Davenport,52807,POINT (-90.513769 41.574973),82,SCOTT,1011100,Blended Whiskies,306,MISSISSIPPI RIVER DISTIL,28131,Cody Road Honey,6,750,16,24,6,144,4.5,1.18,INV-36302400042,662,0.81
INV-41117300026,2021-10-19,3354,Sam's Club 8238 / Davenport,3845 Elmore Ave.,Davenport,52807,POINT (-90.527081 41.559731),82,SCOTT,1031200,American Flavored Vodka,260,DIAGEO AMERICAS,77848,Smirnoff Vanilla,12,1000,9.25,13.88,12,166.56,12,3.17,INV-41117300026,668,0.81
INV-37858800005,2021-06-28,2635,Hy-Vee #4 / Davenport,4064 E 53rd St,Davenport,52807,POINT (-90.513769 41.574973),82,SCOTT,1011100,Blended Whiskies,306,MISSISSIPPI RIVER DISTIL,28131,Cody Road Honey,6,750,16,24,6,144,4.5,1.18,INV-37858800005,662,0.81
INV-40112300006,2021-09-15,2614,Hy-Vee #3 Food & Drugstore / Davenport,1823 E Kimberly Rd,Davenport,52807,POINT (-90.548919 41.55678100000001),82,SCOTT,1022200,100% Agave Tequila,65,Jim Beam Brands,89841,Hornitos Anejo,12,750,16,24,12,288,9,2.37,INV-40112300006,93,0.81
INV-36145500055,2021-04-27,3354,Sam's Club 8238 / Davenport,3845 Elmore Ave.,Davenport,52807,POINT (-90.527081 41.559731),82,SCOTT,1082000,Imported Cordials & Liqueurs,619,Campari America,65127,Grand Marnier Cordon Rouge,12,1000,25.55,38.33,12,459.96,12,3.17,INV-36145500055,668,0.81
